범죄종류,대분류,중분류,질문답변,비율
불법영상유포물,월평균 가구소득별,700만원 이상,문제가 되지 않는다,0.3
불법영상유포물,월평균 가구소득별,700만원 이상,문제가 된다,19
불법영상유포물,월평균 가구소득별,700만원 이상,매우 문제가 된다,80.7
불법영상유포물,권역별,수도권,전혀 문제가 되지 않는다,0
불법영상유포물,권역별,수도권,문제가 되지 않는다,0.7
불법영상유포물,권역별,수도권,문제가 된다,26
불법영상유포물,권역별,수도권,매우 문제가 된다,73.3
불법영상유포물,권역별,충청권,전혀 문제가 되지 않는다,0
불법영상유포물,권역별,충청권,문제가 되지 않는다,0.4
불법영상유포물,권역별,충청권,문제가 된다,21.8
불법영상유포물,권역별,충청권,매우 문제가 된다,77.8
불법영상유포물,권역별,호남권,전혀 문제가 되지 않는다,0.1
불법영상유포물,권역별,호남권,문제가 되지 않는다,0.5
불법영상유포물,권역별,호남권,문제가 된다,17.9
불법영상유포물,권역별,호남권,매우 문제가 된다,81.4
불법영상유포물,권역별,동북권,전혀 문제가 되지 않는다,0.3
불법영상유포물,권역별,동북권,문제가 되지 않는다,0.2
불법영상유포물,권역별,동북권,문제가 된다,14.6
불법영상유포물,권역별,동북권,매우 문제가 된다,84.9
불법영상유포물,권역별,동남권,전혀 문제가 되지 않는다,0.1
불법영상유포물,권역별,동남권,문제가 되지 않는다,0.7
불법영상유포물,권역별,동남권,문제가 된다,25.7
불법영상유포물,권역별,동남권,매우 문제가 된다,73.5
불법영상유포물,인터넷 이용시간별,1시간 미만,전혀 문제가 되지 않는다,0
불법영상유포물,인터넷 이용시간별,1시간 미만,문제가 되지 않는다,0.1
불법영상유포물,인터넷 이용시간별,1시간 미만,문제가 된다,17.4
불법영상유포물,인터넷 이용시간별,1시간 미만,매우 문제가 된다,82.5
불법영상유포물,인터넷 이용시간별,1~2시간 미만,전혀 문제가 되지 않는다,0.1
불법영상유포물,인터넷 이용시간별,1~2시간 미만,문제가 되지 않는다,0.8
불법영상유포물,인터넷 이용시간별,1~2시간 미만,문제가 된다,20.5
불법영상유포물,인터넷 이용시간별,1~2시간 미만,매우 문제가 된다,78.7
불법영상유포물,인터넷 이용시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.2
불법영상유포물,인터넷 이용시간별,2~3시간 미만,문제가 되지 않는다,0.6
불법영상유포물,인터넷 이용시간별,2~3시간 미만,문제가 된다,25.1
불법영상유포물,인터넷 이용시간별,2~3시간 미만,매우 문제가 된다,74.2
불법영상유포물,인터넷 이용시간별,3~4시간 미만,전혀 문제가 되지 않는다,0
불법영상유포물,인터넷 이용시간별,3~4시간 미만,문제가 되지 않는다,0.7
불법영상유포물,인터넷 이용시간별,3~4시간 미만,문제가 된다,28.9
불법영상유포물,인터넷 이용시간별,3~4시간 미만,매우 문제가 된다,70.4
불법영상유포물,인터넷 이용시간별,4시간 이상,전혀 문제가 되지 않는다,0
불법영상유포물,인터넷 이용시간별,4시간 이상,문제가 되지 않는다,0.5
불법영상유포물,인터넷 이용시간별,4시간 이상,문제가 된다,21.8
불법영상유포물,인터넷 이용시간별,4시간 이상,매우 문제가 된다,77.7
지인능욕,성별,남성,전혀 문제가 되지 않는다,0.1
지인능욕,성별,남성,문제가 되지 않는다,1
지인능욕,성별,남성,문제가 된다,22.7
지인능욕,성별,남성,매우 문제가 된다,76.3
지인능욕,성별,여성,전혀 문제가 되지 않는다,0
지인능욕,성별,여성,문제가 되지 않는다,0.7
지인능욕,성별,여성,문제가 된다,21.1
지인능욕,성별,여성,매우 문제가 된다,78.1
지인능욕,연령별,20~29세,전혀 문제가 되지 않는다,0.1
지인능욕,연령별,20~29세,문제가 되지 않는다,0.7
지인능욕,연령별,20~29세,문제가 된다,20.2
지인능욕,연령별,20~29세,매우 문제가 된다,79
지인능욕,연령별,30~39세,전혀 문제가 되지 않는다,0
지인능욕,연령별,30~39세,문제가 되지 않는다,0.7
지인능욕,연령별,30~39세,문제가 된다,21.4
지인능욕,연령별,30~39세,매우 문제가 된다,77.9
지인능욕,연령별,40~49세,전혀 문제가 되지 않는다,0
지인능욕,연령별,40~49세,문제가 되지 않는다,0.9
지인능욕,연령별,40~49세,문제가 된다,22
지인능욕,연령별,40~49세,매우 문제가 된다,77.1
지인능욕,연령별,50~59세,전혀 문제가 되지 않는다,0
지인능욕,연령별,50~59세,문제가 되지 않는다,1
지인능욕,연령별,50~59세,문제가 된다,22.3
지인능욕,연령별,50~59세,매우 문제가 된다,76.7
지인능욕,연령별,60~69세,전혀 문제가 되지 않는다,0.1
지인능욕,연령별,60~69세,문제가 되지 않는다,0.9
지인능욕,연령별,60~69세,문제가 된다,24
지인능욕,연령별,60~69세,매우 문제가 된다,74.9
지인능욕,학력별,초졸이하,전혀 문제가 되지 않는다,0
지인능욕,학력별,초졸이하,문제가 되지 않는다,0
지인능욕,학력별,초졸이하,문제가 된다,24.6
지인능욕,학력별,초졸이하,매우 문제가 된다,75.4
지인능욕,학력별,중졸,전혀 문제가 되지 않는다,0
지인능욕,학력별,중졸,문제가 되지 않는다,0.3
지인능욕,학력별,중졸,문제가 된다,21.5
지인능욕,학력별,중졸,매우 문제가 된다,78.2
지인능욕,학력별,고졸,전혀 문제가 되지 않는다,0.1
지인능욕,학력별,고졸,문제가 되지 않는다,0.8
지인능욕,학력별,고졸,문제가 된다,22.6
지인능욕,학력별,고졸,매우 문제가 된다,76.6
지인능욕,학력별,대졸이상,전혀 문제가 되지 않는다,0
지인능욕,학력별,대졸이상,문제가 되지 않는다,0.9
지인능욕,학력별,대졸이상,문제가 된다,21.4
지인능욕,학력별,대졸이상,매우 문제가 된다,77.7
지인능욕,월평균 가구소득별,100만원 미만,전혀 문제가 되지 않는다,0.1
지인능욕,월평균 가구소득별,100만원 미만,문제가 되지 않는다,2.3
지인능욕,월평균 가구소득별,100만원 미만,문제가 된다,25.8
지인능욕,월평균 가구소득별,100만원 미만,매우 문제가 된다,71.8
지인능욕,월평균 가구소득별,100~200만원 미만,전혀 문제가 되지 않는다,0.1
지인능욕,월평균 가구소득별,100~200만원 미만,문제가 되지 않는다,1.1
지인능욕,월평균 가구소득별,100~200만원 미만,문제가 된다,22.7
지인능욕,월평균 가구소득별,100~200만원 미만,매우 문제가 된다,76.1
지인능욕,월평균 가구소득별,200~300만원 미만,전혀 문제가 되지 않는다,0
지인능욕,월평균 가구소득별,200~300만원 미만,문제가 되지 않는다,0.6
지인능욕,월평균 가구소득별,200~300만원 미만,문제가 된다,21.1
지인능욕,월평균 가구소득별,200~300만원 미만,매우 문제가 된다,78.3
지인능욕,월평균 가구소득별,300~400만원 미만,전혀 문제가 되지 않는다,0.1
지인능욕,월평균 가구소득별,300~400만원 미만,문제가 되지 않는다,1.1
지인능욕,월평균 가구소득별,300~400만원 미만,문제가 된다,23.9
지인능욕,월평균 가구소득별,300~400만원 미만,매우 문제가 된다,74.9
지인능욕,월평균 가구소득별,400~500만원 미만,전혀 문제가 되지 않는다,0.1
지인능욕,월평균 가구소득별,400~500만원 미만,문제가 되지 않는다,0.9
지인능욕,월평균 가구소득별,400~500만원 미만,문제가 된다,21.7
지인능욕,월평균 가구소득별,400~500만원 미만,매우 문제가 된다,77.4
지인능욕,월평균 가구소득별,500~600만원 미만,전혀 문제가 되지 않는다,0.1
지인능욕,월평균 가구소득별,500~600만원 미만,문제가 되지 않는다,0.8
지인능욕,월평균 가구소득별,500~600만원 미만,문제가 된다,22.2
지인능욕,월평균 가구소득별,500~600만원 미만,매우 문제가 된다,76.9
지인능욕,월평균 가구소득별,600~700만원 미만,전혀 문제가 되지 않는다,0.1
지인능욕,월평균 가구소득별,600~700만원 미만,문제가 되지 않는다,0.2
지인능욕,월평균 가구소득별,600~700만원 미만,문제가 된다,19.5
지인능욕,월평균 가구소득별,600~700만원 미만,매우 문제가 된다,80.2
지인능욕,월평균 가구소득별,700만원 이상,전혀 문제가 되지 않는다,0
지인능욕,월평균 가구소득별,700만원 이상,문제가 되지 않는다,0.7
지인능욕,월평균 가구소득별,700만원 이상,문제가 된다,15.8
지인능욕,월평균 가구소득별,700만원 이상,매우 문제가 된다,83.5
지인능욕,권역별,수도권,전혀 문제가 되지 않는다,0
지인능욕,권역별,수도권,문제가 되지 않는다,1.4
지인능욕,권역별,수도권,문제가 된다,21.5
지인능욕,권역별,수도권,매우 문제가 된다,77.1
지인능욕,권역별,충청권,전혀 문제가 되지 않는다,0
지인능욕,권역별,충청권,문제가 되지 않는다,0.1
지인능욕,권역별,충청권,문제가 된다,23.9
지인능욕,권역별,충청권,매우 문제가 된다,76
지인능욕,권역별,호남권,전혀 문제가 되지 않는다,0
지인능욕,권역별,호남권,문제가 되지 않는다,0.1
지인능욕,권역별,호남권,문제가 된다,27
지인능욕,권역별,호남권,매우 문제가 된다,72.9
지인능욕,권역별,동북권,전혀 문제가 되지 않는다,0.2
지인능욕,권역별,동북권,문제가 되지 않는다,0.3
지인능욕,권역별,동북권,문제가 된다,14.1
지인능욕,권역별,동북권,매우 문제가 된다,85.4
지인능욕,권역별,동남권,전혀 문제가 되지 않는다,0.1
지인능욕,권역별,동남권,문제가 되지 않는다,0.6
지인능욕,권역별,동남권,문제가 된다,24.7
지인능욕,권역별,동남권,매우 문제가 된다,74.5
지인능욕,인터넷 이용시간별,1시간 미만,전혀 문제가 되지 않는다,0
지인능욕,인터넷 이용시간별,1시간 미만,문제가 되지 않는다,0.1
지인능욕,인터넷 이용시간별,1시간 미만,문제가 된다,19.6
지인능욕,인터넷 이용시간별,1시간 미만,매우 문제가 된다,80.3
지인능욕,인터넷 이용시간별,1~2시간 미만,전혀 문제가 되지 않는다,0.1
지인능욕,인터넷 이용시간별,1~2시간 미만,문제가 되지 않는다,1
지인능욕,인터넷 이용시간별,1~2시간 미만,문제가 된다,20.9
지인능욕,인터넷 이용시간별,1~2시간 미만,매우 문제가 된다,78
지인능욕,인터넷 이용시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.1
지인능욕,인터넷 이용시간별,2~3시간 미만,문제가 되지 않는다,1.1
지인능욕,인터넷 이용시간별,2~3시간 미만,문제가 된다,25.6
지인능욕,인터넷 이용시간별,2~3시간 미만,매우 문제가 된다,73.3
지인능욕,인터넷 이용시간별,3~4시간 미만,전혀 문제가 되지 않는다,0
지인능욕,인터넷 이용시간별,3~4시간 미만,문제가 되지 않는다,0.8
지인능욕,인터넷 이용시간별,3~4시간 미만,문제가 된다,21.5
지인능욕,인터넷 이용시간별,3~4시간 미만,매우 문제가 된다,77.7
지인능욕,인터넷 이용시간별,4시간 이상,전혀 문제가 되지 않는다,0
지인능욕,인터넷 이용시간별,4시간 이상,문제가 되지 않는다,0.7
지인능욕,인터넷 이용시간별,4시간 이상,문제가 된다,18.6
지인능욕,인터넷 이용시간별,4시간 이상,매우 문제가 된다,80.7
